word,meaning,example,example_ko
adventure,모험,Life is a big adventure.,인생은 큰 모험이다.
amazing,놀라운,Her story was amazing.,그녀의 이야기는 놀라웠다.
diary,일기,She wrote about her dreams in her diary.,그녀는 일기에 자신의 꿈에 관해 썼다.
each,각각의,Each person has a different name.,각 사람은 서로 다른 이름을 가지고 있다.
empty,"비어 있는, 빈",The classroom was empty.,교실은 비어 있었다.
grain,낟알,A few grains of rice are on the dish.,접시 위에 쌀 몇 톨이 있다.
greedy,욕심 많은,He looked at the cookies with greedy eyes.,그는 욕심 가득한 눈으로 쿠키를 바라보았다.
handful,"한 줌, 한 움큼",You will need a handful of salt.,소금 한 줌이 필요할 것이다.
hear,듣다; 들리다,I can’t hear you well.,네 말이 잘 들리지 않아.
hungry,배고픈,They were so hungry this morning.,그들은 오늘 아침 매우 배가 고팠다.
laugh,웃다,The boy is laughing loudly.,그 소년은 크게 웃고 있다.
million,100만,Over 3 million people live in the city.,그 도시에 300만 명이 넘는 사람들이 산다.
past,과거,We can learn from the mistakes of the past.,우리는 과거의 실수에서 배울 수 있다.
reward,"보상하다, 보답하다",I will reward her with my good grade.,나는 좋은 성적으로 그녀에게 보답할 것이다.
rice,쌀,Rice grows in warm climates.,쌀은 따뜻한 기후에서 자란다.
scene,"(연극의) 장, 장면",Let’s practice the second scene.,두 번째 장면을 연습하자.
servant,"신하, 하인",The servant worked hard.,그 하인은 열심히 일했다.
storehouse,창고,The farmer has a big storehouse.,그 농부에게는 큰 창고가 있다.
theater,극장,I saw the movie in the theater.,나는 극장에서 그 영화를 보았다.
wise,"지혜로운, 현명한",She was a wise leader.,그녀는 현명한 지도자였다.
ask for,"요구하다, 요청하다",You can ask for help.,도움을 요청해도 된다.
for a while,잠시 동안,Please wait for a while.,잠시 동안 기다려 주세요.
in surprise,놀라서,I looked at her in surprise.,나는 놀라서 그녀를 바라보았다.
more than,~ 이상의,More than half of students raised their hands.,학생의 절반 이상이 손을 들었다.
in trouble,곤경에 빠진,She helped people in trouble.,그녀는 곤경에 빠진 사람들을 도왔다.
