word,meaning,example,example_ko
cause,원인,They will find out the cause of the fire.,그들은 화재의 원인을 알아낼 것이다.
climate,기후,The city has a warm climate.,그 도시는 기후가 따뜻하다.
cloth,"천, 옷감",The cloth bag is very strong.,그 천 가방은 매우 튼튼하다.
coral reef,산호초,Many sea animals live on coral reefs.,많은 바다 동물들이 산호초에 산다.
difference,"차이, 다름",I can’t see the difference between the twins.,나는 그 쌍둥이 사이의 차이를 알 수 없다.
dirty,더러운,Wash your dirty face.,더러운 얼굴을 씻어라.
dive,잠수하다,They will dive deep into the sea.,그들은 바닷속 깊이 잠수할 것이다.
effect,"영향, 결과",We don’t know about the effect of climate change.,우리는 기후 변화의 영향에 대해 알지 못한다.
explore,탐험하다,He explores the Amazon.,그는 아마존을 탐험한다.
healthy,건강한,"My grandmother is old, but she is healthy.",우리 할머니는 나이가 많으시지만 건강하시다.
information,정보,I’m looking for information about the festival.,나는 그 축제에 관한 정보를 찾고 있다.
jellyfish,해파리,Jellyfish have no heart.,해파리는 심장이 없다.
mess,"엉망, 지저분함",My room is a mess.,내 방은 엉망이다.
original,원래의,What is the original meaning of the word?,그 단어의 원래 의미는 무엇이니?
post,(웹사이트에 정보·사진을) 올리다,I post pictures of dolphins on my blog.,나는 내 블로그에 돌고래 사진을 올린다.
promise,약속하다,I promise to help you.,나는 너를 돕겠다고 약속한다.
protect,보호하다,I will protect you from danger.,내가 너를 위험으로부터 보호할게.
recycle,재활용하다,We should recycle plastics.,우리는 플라스틱을 재활용해야 한다.
solution,해결책,Let’s find a solution together.,함께 해결책을 찾아보자.
stairs,계단,Don’t run down the stairs.,계단을 뛰어 내려가지 마라.
straw,빨대,The boy is drinking milk through a straw.,그 소년은 빨대로 우유를 마시고 있다.
sunscreen,자외선 차단제,I wear sunscreen every day.,나는 매일 자외선 차단제를 바른다.
swimwear,수영복,Let’s change into our swimwear and go swimming.,수영복으로 갈아입고 수영하러 가자.
temperature,온도,The temperature goes down after sunset.,해가 진 뒤에는 온도가 내려간다.
trash,쓰레기,Can you pick up the trash?,그 쓰레기를 주울 수 있니?
