word,meaning,example,example_ko
army,군대,My brother is in the army.,우리 형은 군대에 있다.
barbecue,바비큐,We had a barbecue party yesterday.,우리는 어제 바비큐 파티를 했다.
beat,"휘젓다, (휘저어) 섞다",Beat the eggs with a spoon.,숟가락으로 달걀을 휘저어라.
chewy,쫄깃한,The cookies were chewy.,그 쿠키는 쫄깃했다.
crab,게,A crab has a hard shell.,게는 단단한 껍데기가 있다.
curry,카레,I ate curry for lunch.,나는 점심으로 카레를 먹었다.
dessert,"후식, 디저트",We had ice cream for dessert.,우리는 후식으로 아이스크림을 먹었다.
dish,요리,What is the best dish here?,여기에서 가장 맛있는 요리는 무엇인가요?
fry,"(기름에) 부치다, 튀기다",I am frying some fish.,나는 생선을 튀기고 있다.
giant,거대한,That pizza is giant.,저 피자는 거대하다.
half,"반, 절반",He ate only half of the pizza.,그는 피자의 절반만 먹었다.
mixture,혼합물,Add the eggs to the mixture.,그 혼합물에 달걀을 넣어라.
omelet,오믈렛,I had an omelet for breakfast.,나는 아침 식사로 오믈렛을 먹었다.
order,주문하다; 주문,I ordered some salad. / The server took my order.,나는 샐러드를 주문했다. / 종업원이 내 주문을 받았다.
pan,"팬, 프라이팬",The eggs were frying in the pan.,달걀이 팬에서 익고 있었다.
popular,인기 있는,Fried chicken is a popular food.,프라이드치킨은 인기 있는 음식이다.
pour,"붓다, 따르다",Please pour some oil into the pan.,팬에 기름을 조금 부어 주세요.
recipe,조리법,I didn’t read the recipe carefully.,나는 조리법을 주의 깊게 읽지 않았다.
sour,(맛이) 신,This juice tastes really sour.,이 주스는 정말 신맛이 난다.
step,단계,Go to the next step.,다음 단계로 가세요.
strawberry,딸기,The strawberry was very sweet.,그 딸기는 매우 달았다.
thick,두꺼운,My glasses are thick.,내 안경은 두껍다.
thin,얇은,This book is thin.,이 책은 얇다.
tip,조언,I’ll give you some tips.,내가 조언을 몇 가지 해 줄게.
wrap,"싸다, 포장하다",She wrapped the present.,그녀는 선물을 포장했다.
