word,meaning,example,example_ko
active,활동적인,He is old but active.,그는 나이가 많지만 활동적이다.
cartoon,만화,Jin watches cartoons after dinner.,진은 저녁 식사 후에 만화를 본다.
character,등장인물,Who is your favorite cartoon character?,네가 가장 좋아하는 만화 등장인물은 누구니?
conversation,대화,We have conversations in English.,우리는 영어로 대화를 나눈다.
cotton candy,솜사탕,Emily eats cotton candy every Sunday.,에밀리는 매주 일요일에 솜사탕을 먹는다.
creative,창의적인,He has a lot of creative ideas.,그는 창의적인 생각이 많다.
easily,쉽게,She learns new words easily.,그녀는 새로운 단어를 쉽게 배운다.
enjoy,즐기다,Many people enjoy the magic show.,많은 사람들이 그 마술 공연을 즐긴다.
friendly,친절한,My classmates are friendly to me.,우리 반 친구들은 나에게 친절하다.
honeybee,꿀벌,Honeybees fly from flower to flower.,꿀벌들은 꽃에서 꽃으로 날아다닌다.
horror,공포,My dad doesn’t like horror movies.,우리 아빠는 공포 영화를 좋아하지 않는다.
interesting,"재미있는, 흥미로운",This book is interesting.,이 책은 재미있다.
liar,거짓말쟁이,I don’t trust a liar like Pinocchio.,나는 피노키오 같은 거짓말쟁이를 믿지 않는다.
patient,참을성 있는,Ms. Kim is a very patient teacher.,김 선생님은 매우 참을성 있는 선생님이다.
perfect,"완벽한, 완전한",It is a perfect day for a picnic.,소풍 가기에 완벽한 날이다.
poster,포스터,This poster is about the book festival.,이 포스터는 책 축제에 관한 것이다.
really,"정말로, 아주",This bag is really cheap!,이 가방은 정말 싸다!
share,"공유하다, 나누다",We share ideas at meetings.,우리는 회의에서 생각을 나눈다.
smart,"똑똑한, 영리한",Dolphins are very smart.,돌고래는 매우 영리하다.
subject,과목,My favorite subject is English.,내가 가장 좋아하는 과목은 영어이다.
sweet,"달콤한, 상냥한; 단것",This cake is sweet. / My sister likes sweets.,이 케이크는 달콤하다. / 내 여동생은 단것을 좋아한다.
thought,생각,People share their thoughts online.,사람들은 온라인에서 자신의 생각을 공유한다.
turtle,"거북, 거북이",Turtles have a hard shell.,거북은 단단한 등딱지가 있다.
a lot,많이,Tom likes Korean food a lot.,톰은 한국 음식을 매우 좋아한다.
in harmony with,"~와 조화하여, 협조하여",They live in harmony with nature.,그들은 자연과 조화를 이루며 산다.
