word,meaning,example,example_ko
admiral,해군 대장,Yi Sun-sin was a great admiral.,이순신은 위대한 해군 대장이었다.
battle,전투,Please stop this battle.,이 전투를 멈춰 주세요.
cliff,절벽,The cliff is very high.,그 절벽은 매우 높다.
coast,해안,My hometown is near the coast.,내 고향은 해안 근처에 있다.
experience,경험,They had a great experience in Boseong.,그들은 보성에서 멋진 경험을 했다.
famous,유명한,She is a famous singer.,그녀는 유명한 가수이다.
finally,결국,I finally solved the problem.,나는 결국 그 문제를 해결했다.
fisherman,어부,A fisherman is catching fish in the sea.,한 어부가 바다에서 물고기를 잡고 있다.
huge,거대한,They live in a huge house.,그들은 거대한 집에 산다.
imagine,상상하다,I imagine my life in the future.,나는 미래의 내 삶을 상상한다.
magician,마술사,The magician changed a picture into a rabbit.,그 마술사는 그림을 토끼로 바꾸었다.
mean,의미하다,What does this word mean?,이 단어는 무엇을 의미하니?
museum,"박물관, 미술관",There are many interesting paintings in the museum.,그 미술관에는 흥미로운 그림이 많이 있다.
nickname,별명,His nickname is ‘Happy Rabbit.’,그의 별명은 ‘행복한 토끼’이다.
peaceful,평화로운,The park is so peaceful.,그 공원은 매우 평화롭다.
radish,무,My father grew this radish in the garden.,우리 아버지는 정원에서 이 무를 기르셨다.
spicy,매운,Tteokbokki is spicy but delicious.,떡볶이는 맵지만 맛있다.
squid,오징어,The squid is swimming fast in the sea.,그 오징어는 바다에서 빠르게 헤엄치고 있다.
statue,조각상,There is a statue of a lion in the park.,공원에 사자 조각상이 하나 있다.
sunset,일몰,We watched the sunset together.,우리는 함께 일몰을 보았다.
various,다양한,This painting shows various colors.,이 그림은 다양한 색을 보여 준다.
view,경치,You can enjoy a beautiful view here.,여기에서 아름다운 경치를 즐길 수 있다.
a bit,약간,I was a bit late.,나는 약간 늦었다.
go on a trip,여행 가다,I’m going to go on a trip with my friends next week.,나는 다음 주에 친구들과 여행을 갈 것이다.
hundreds of,"수백의, 수백 개의",There are hundreds of books in the library.,도서관에는 수백 권의 책이 있다.
