word,meaning,example,example_ko
bubble,거품,Let’s take a bubble bath!,거품 목욕을 하자!
cafeteria,구내식당,I have lunch in the school cafeteria.,나는 학교 구내식당에서 점심을 먹는다.
contest,"대회, 경연",Only one person wins the contest.,오직 한 사람만 그 대회에서 우승한다.
dust,흙먼지,Look at the dust on the old books.,오래된 책 위의 먼지를 봐.
even,"~까지도, ~조차",Even a child knows the answer.,심지어 어린아이도 그 답을 안다.
event,행사,The event is on Thursday.,그 행사는 목요일에 열린다.
excited,"신난, 들뜬",I am very excited about the trip.,나는 그 여행 때문에 매우 신이 난다.
follow,"뒤따르다, 따라가다",Follow me into the kitchen.,나를 따라 부엌으로 와.
gym,체육관,Let’s play basketball in the gym.,체육관에서 농구를 하자.
lettuce,상추,Wash the fresh lettuce.,신선한 상추를 씻어라.
plant,식물; 심다,Please water the plants every day. / They will plant a big tree in the field.,매일 식물에 물을 주세요. / 그들은 들판에 큰 나무를 심을 것이다.
poem,(한 편의) 시,He is reading a poem.,그는 시 한 편을 읽고 있다.
practice,연습하다,The team is practicing for their big game.,그 팀은 중요한 경기를 위해 연습하고 있다.
prepare,준비하다,We are preparing for a picnic.,우리는 소풍을 준비하고 있다.
prize,"상, 상품",The winner gets a prize.,우승자는 상을 받는다.
raise,(들어) 올리다,Please raise your hand.,손을 들어 주세요.
ride,(자전거 등을) 타다,Let’s go out and ride a bike.,밖에 나가서 자전거를 타자.
section,구역,He is looking for the book in the history section.,그는 역사책 구역에서 그 책을 찾고 있다.
soon,"곧, 금방",I’ll be back soon!,곧 돌아올게!
special,"특별한, 특수한",He is a very special friend to me.,그는 나에게 매우 특별한 친구이다.
stage,무대,The actor is on the stage.,그 배우는 무대 위에 있다.
through,~을 통해,The boy throws the coin through the window.,그 소년은 창문을 통해 동전을 던진다.
tour,관광,The next city tour begins at 2.,다음 시내 관광은 2시에 시작한다.
tunnel,"터널, 굴",The bus is passing through a tunnel.,버스가 터널을 지나가고 있다.
rock climbing,암벽 등반,My brother enjoys rock climbing.,우리 형은 암벽 등반을 즐긴다.
