word,meaning,example,example_ko
curiously,호기심을 갖고,People are looking at the boy curiously.,사람들이 그 소년을 호기심을 갖고 바라보고 있다.
first aid station,"구급소, 응급 치료소",They are taking him to the first aid station.,그들은 그를 구급소로 데려가고 있다.
flat,바람이 빠진,She changed the flat tire.,그녀는 바람이 빠진 타이어를 교체했다.
glove,장갑,The gloves are too big for me.,그 장갑은 나에게 너무 크다.
grade,성적,She got high grades in English.,그녀는 영어에서 높은 성적을 받았다.
happen,"일어나다, 발생하다",What happened?,무슨 일이 일어났니?
hedgehog,고슴도치,The hedgehog is a very small animal with spines.,고슴도치는 가시가 있는 매우 작은 동물이다.
hug,"안다, 포옹하다",They hugged each other.,그들은 서로 껴안았다.
hurt,다치게 하다,She fell and hurt her leg badly.,그녀는 넘어져서 다리를 심하게 다쳤다.
leave,떠나다,What time did you leave your house?,너는 몇 시에 집에서 나왔니?
lonely,외로운,Emily lives alone and feels lonely.,에밀리는 혼자 살며 외로움을 느낀다.
nervous,"초조한, 긴장한",I felt nervous before the interview.,나는 면접 전에 긴장했다.
scared,무서워하는,She is scared of water.,그녀는 물을 무서워한다.
scarf,목도리,I always wear gloves and a scarf in winter.,나는 겨울에 항상 장갑과 목도리를 착용한다.
spine,(동·식물의) 가시,Be careful of the spines on the plant.,그 식물의 가시를 조심해라.
sponge,스펀지,This cake looks like a sponge.,이 케이크는 스펀지처럼 보인다.
spread,번지다,A smile spread over his face.,그의 얼굴에 미소가 번졌다.
suddenly,갑자기,The sky suddenly went dark.,하늘이 갑자기 어두워졌다.
teen,십 대의,How was your teen life?,너의 십 대 시절은 어땠니?
wave,손을 흔들다,She smiled and waved at me.,그녀는 미소를 지으며 나에게 손을 흔들었다.
without,~ 없이,Jack walked in the rain without an umbrella.,잭은 우산 없이 빗속을 걸었다.
a few,몇몇의,"A few days later, I found my dog.",며칠 뒤에 나는 내 개를 찾았다.
because of,~ 때문에,I didn’t go out because of the bad weather.,나는 나쁜 날씨 때문에 밖에 나가지 않았다.
next to,~ 옆에,The library is next to the middle school.,도서관은 중학교 옆에 있다.
put on,입다,He put on a warm coat.,그는 따뜻한 외투를 입었다.
